id,title,authors,year,venue,search_string
105,Aligning Academia with Industry: An Empirical Study of Industrial Needs and Academic Capabilities in AI-Driven Software Engineering,"H Yu, Y Lai, L Zhang, X Lian, F Liu, Y Dong…",2025,arXiv preprint arXiv …,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"""
106,BOSQTGEN: Breaking the Sound Barrier in Test Generation,"SM Asif, J Chen, ET Barr, M Marron",2025,arXiv preprint arXiv:2510.19777,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"""
107,Test Oracle Generation for REST APIs,"JC Alonso, MD Ernst, S Segura…",2025,ACM Transactions on …,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"""
108,"WFC/WFD: Web Fuzzing Commons, Dataset and Guidelines to Support Experimentation in REST API Fuzzing","O Sahin, M Zhang, A Arcuri",2025,arXiv preprint arXiv:2509.01612,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"""
109,From Developer Assistance to Complete Development Automation: A Workflow-Centric Framework for AI Code Generation,"V Sonkin, C Tudose",2025,,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"""
110,"Log-based, Business-aware REST API Testing","D Yang, R Qian, Z Wei, Z Chen, C Fang",2026,arXiv preprint arXiv:2604.08007,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"""
111,Generative AI for Software Development Automation,SKN Banoth,2026,Available at SSRN 6556058,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"""
112,Enhancing rest api testing with nlp techniques,"M Kim, D Corradini, S Sinha, A Orso…",2023,Proceedings of the …,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"""
113,"Automated and Effective Metamorphic Testing: Relation Discovery, Deduction, and Generation",C Xu,2026,,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"""
114,Usability of LLMs for Assisting Software Engineering: A Literature Review,D Hussein,2024,,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"""
115,Rest api testing in devops: A study on an evolving healthcare iot application,"H Sartaj, S Ali, J Marie Gjøby",2026,ACM Transactions on Software …,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"""
116,Efficient Fuzzing of Web APIs in Embedded Environments,"K Alemo, F Orheim",2026,LU-CS-EX,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"""
117,Rest API Functional Tester,"D Saha, D Sondhi, S Haldar, S Sinha",2025,Proceedings of the 18th …,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"""
118,Detecting and Mitigating Flakiness in REST API Fuzzing,"M Zhang, C Shen, A Arcuri, T Yue",2026,arXiv preprint arXiv:2603.28452,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"""
119,Hamster: A Large-Scale Study and Characterization of Developer-Written Tests,"R Pan, T Stennett, R Pavuluri, N Levin, A Orso…",2025,arXiv preprint arXiv …,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"""
120,Real-World Fault Detection for C-Extended Python Projects with Automated Unit Test Generation,"L Berg, L Krodinger, S Lukasczyk, A Panichella…",2026,arXiv preprint arXiv …,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"""
121,Search-Based Software Engineering and AI Foundation Models: Current Landscape and Future Roadmap,"H Sartaj, S Ali, P Arcaini, A Arcuri",2025,arXiv preprint arXiv:2505.19625,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"""
122,When Specifications Meet Reality: Uncovering API Inconsistencies in Ethereum Infrastructure,"J Ma, N He, J Xi, M Xing, L Liu, J Luo, X Fu…",2026,Proceedings of the …,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"""
123,A Hybrid Neuro-Symbolic BDI Multi-Agent Architecture for LLM-Based Unit Test Generation,"M Üstgel, E Askın, BT Tezel, M Challenger",,environments,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"""
124,Prompt fuzzing for fuzz driver generation,"Y Lyu, Y Xie, P Chen, H Chen",2024,"Proceedings of the on ACM …, 2024","""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"""
125,AI IN WEB DEVELOPMENT: A COMPARATIVE STUDY ON TRADITIONAL VS AI-DRIVEN APPROACHES,"S Ch, V Ch",2026,Power System Protection and Control,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"""
126,A Case for Learned Cloud Emulators,"A Bhatnagar, Y Qiu, S McClure, S Ratnasamy…",2025,Proceedings of the 24th …,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"""
127,Why android app testing falls short: empirical insights from open-source projects and a practitioner survey,"T Mahmud, M Che, A Ngu, G Yang",2025,Empirical Software Engineering,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"""
128,"Systems, Software and Services Process Improvement: 32nd European Conference, EuroSPI 2025, Riga, Latvia, September 17–19, 2025, Proceedings, Part I","M Yilmaz, P Clarke, A Riel, R Messnarz, M Zelmenis…",2025,,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"""
129,Use Cases for AI Driven Coding-Using Vibe Coding Seriously in Enterprise Environment,J Ayo,2026,,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"""
130,Pool++: Enhancing Unit Test Coverage Through Audio Data and Mock Generation,PP Ferreira,2025,,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"""
131,Quantum artificial intelligence for software engineering: The road ahead,"X Wang, S Ali, P Arcaini",2025,arXiv preprint arXiv:2505.04797,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"""
132,AI and Microservices: Integrating AI Into API Design and Distributed Microservice Architecture,"DK Pandiya, N Charankar",2025,,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"""
133,Connecting Requirements Engineering to Agentic Development,"J Kawelke, T Niebisch",2026,AI-Driven Transformation-Practical Frameworks for …,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"""
134,ICSE 2024,M Rinard,,computer.org,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"""
135,AI and Microservices,"Dileep Kumar Pandiya , Nilesh Charankar",2025,Springer,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"""
136,Demystifying react native android apps for static analysis,"Y Liu, X Chen, P Liu, J Samhi, J Grundy…",2025,ACM Transactions on …,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"""
137,The future of ai-enhanced microservices and apis,"DK Pandiya, N Charankar",2025,AI and Microservices: Integrating AI Into API …,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"""
138,Most Cited Papers in Software Engineering 2013-2023,M Monperrus,2025,,"""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"""
