id;title;authors;year;venue;search_string
37;Guided test generation for coverage criteria;Rahul Pandita, Tao Xie, N. Tillmann, J. D. Halleux;2010;2010 IEEE International Conference on Software Maintenance;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
38;Automated unit and integration testing for component-based software systems;F. Saglietti, F. Pinte;2010;S&D4RCES '10;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
39;ParTeG - Integrating Model-based Testing and Model Transformations;Dehla Sokenou, Stephan Weißleder;2010;Software Engineering;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
40;Integrated Model-based Test Case Generation;Yujian Fu, S. Li, Sudipto Bhattacharjee, Zhijiang Dong;2010;;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
41;Test Case Generation and Prioritization for Semantic Based Web Services using Orthogonal Array Testing Technique;A. Askarunisa, A. Abirami, Dr.N. Ramaraj;2010;;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
42;A new approach for session-based test case generation by GA;Xuan Peng, Lu Lu;2011;IEEE International Conference on Communication…;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
43;User-session-based automatic test case generation using GA;Xuan Peng, Lu Lu;2011;;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
44;Structural Equivalence Partition and Boundary Testing;Norbert Oster, M. Philippsen;2011;Software Engineering;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
45;Introduction to the Software Testing and Internet Testbeds Minitrack;L. Burns, Ron Ostrenga, R. Linger;2012;Hawaii International Conference on System…;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
46;Generation test case from UML activity diagram based on AC grammar;Kanjanee Pechtanun, S. Kansomkeat;2012;International Conference Communication and…;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
47;Leveraging test generation and specification mining for automated bug detection without false positives;Michael Pradel, T. Gross;2012;International Conference on Software Engineering;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
48;Oracle-Centric Test Case Prioritization;Matthew Staats, Pablo Loyola, Gregg Rothermel;2012;IEEE International Symposium on Software…;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
49;State aware test case regeneration for improving web application test suite coverage and fault detection;N. Alshahwan, M. Harman;2012;International Symposium on Software Testing and…;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
50;Test Case Generation For Concurrent Object-Oriented Systems Using Combinational Uml Models;Swagatika Dalai, A. Acharya, D. Mohapatra;2012;;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
51;Study Paper on Test Case generation for GUI Based Testing;A. Isabella, Emi Retna;2012;arXiv.org;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
52;Automatische Optimierung und Evaluierung modellbasierter Testfälle für den Komponenten- und Integrationstest;Florin Pinte;2012;;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
53;Coverage-Based Test Case Prioritisation: An Industrial Case Study;D. D. Nardo, N. Alshahwan, L. Briand, Y. Labiche;2013;2013 IEEE Sixth International Conference on…;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
54;Whitening SOA Testing via Event Exposure;Chunyang Ye, H. Jacobsen;2013;IEEE Transactions on Software Engineering;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
55;Prioritization of Combinatorial Test Cases by Incremental Interaction Coverage;Rubing Huang, Xiaodong Xie, Dave Towey, T. Chen, Yansheng Lu, Jinfu Chen;2013;International journal of software engineering and…;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
56;Achieving scalable model-based testing through test case diversity;H. Hemmati, Andrea Arcuri, L. Briand;2013;TSEM;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
57;Automated GUI Test Cases Generation with Optimization Algorithm using a Model Driven Approach;Cse Dept, N. Malmurugan;2013;;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
58;Coverage is not strongly correlated with test suite effectiveness;L. Inozemtseva, Reid Holmes;2014;International Conference on Software Engineering;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
59;Coverage and fault detection of the output-uniqueness test selection criteria;N. Alshahwan, M. Harman;2014;International Symposium on Software Testing and…;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
60;Leveraging existing tests in automated test generation for web applications;Amin Milani Fard, Mehdi MirzaAghaei, A. Mesbah;2014;International Conference on Automated Software Engineering;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
61;Coverage‐based regression test case selection, minimization and prioritization: a case study on an industrial system;D. D. Nardo, N. Alshahwan, L. Briand, Y. Labiche;2015;Software testing, verification & reliability;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
62;Improved Test Pattern Generation for Hardware Trojan Detection Using Genetic Algorithm and Boolean Satisfiability;Sayandeep Saha, R. Chakraborty, Srinivasa Shashank Nuthakki, Anshul, Debdeep Mukhopadhyay;2015;Workshop on Cryptographic Hardware and Embedded…;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
63;Aggregate-strength interaction test suite prioritization;Rubing Huang, Jinfu Chen, Dave Towey, A. Chan, Yansheng Lu;2015;Journal of Systems and Software;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
64;Do Automatically Generated Unit Tests Find Real Faults? An Empirical Study of Effectiveness and Challenges (T);S. Shamshiri, René Just, J. Rojas, Gordon Fraser, Phil McMinn, Andrea Arcuri;2015;International Conference on Automated Software Engineering;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
65;DASE: Document-Assisted Symbolic Execution for Improving Automated Software Testing;Edmund Wong, Lei Zhang, Song Wang, Taiyue Liu, Lin Tan;2015;2015 IEEE/ACM 37th IEEE International Conference on Software Engineering;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
66;An Automated Test Generation Technique for Software Quality Assurance;Dianxiang Xu, Weifeng Xu, Michael Kent, Lijo Thomas, Linzhang Wang;2015;IEEE Transactions on Reliability;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
67;The Risks of Coverage-Directed Test Case Generation;Gregory Gay, Matthew Staats, M. Whalen, M. Heimdahl;2015;IEEE Transactions on Software Engineering;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
68;TEST CASE GENERATION AND PRIORITIZATION BASED ON UML BEHAVIORAL MODELS;A. Jena, S. Swain, Durga Prasad, Mohapatra;2015;;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
69;MUBench: A Benchmark for API-Misuse Detectors;Sven Amann, Sarah Nadi, H. Nguyen, T. Nguyen, M. Mezini;2016;IEEE Working Conference on Mining Software…;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
70;Sapienz: multi-objective automated testing for Android applications;Ke Mao, M. Harman, Yue Jia;2016;International Symposium on Software Testing and Analysis;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
71;Automated test generation for Debugging arithmetic circuits;Farimah Farahmandi, P. Mishra;2016;Design, Automation and Test in Europe;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
72;Optimized test suites for automated testing using different optimization techniques;Manju Khari, Prabhat Kumar, D. Burgos, R. G. Crespo;2017;Soft Computing - A Fusion of Foundations…;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
73;A correlation based fault detection method for short circuits in battery packs;Bing Xia, Yunlong Shang, Truong Q. Nguyen, C. Mi;2017;;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
74;Application of deep neural network and generative adversarial network to industrial maintenance: A case study of induction motor fault detection;Y. Lee, Jun Jo, Jongwoon Hwang;2017;2017 IEEE International Conference on Big Data…;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
75;An Industrial Evaluation of Unit Test Generation: Finding Real Faults in a Financial Application;M. Almasi, H. Hemmati, Gordon Fraser, Andrea Arcuri, Janis Benefelds;2017;2017 IEEE/ACM 39th International Conference on Software Engineering: Software Engineering in Practice Track (ICSE-SEIP);"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
76;Event-Triggered Fault Detection of Nonlinear Networked Systems;Hongyi Li, Ziran Chen, Ligang Wu, H. Lam, H. Du;2017;IEEE Transactions on Cybernetics;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
77;A testing-coverage software reliability model considering fault removal efficiency and error generation;Qiuying Li, H. Pham;2017;PLoS ONE;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
78;Delivering Test and Evaluation Tools for Autonomous Unmanned Vehicles to the Fleet;Galen E. Mullins, Paul G. Stankiewicz, Adam Watkins;2017;;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
79;A review of fault detection and diagnostics methods for building systems;Woohyun Kim, S. Katipamula;2018;;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
80;Metamorphic Testing of RESTful Web APIs;Sergio Segura, J. A. Parejo, J. Troya, Antonio Ruiz-Cortés;2018;IEEE Transactions on Software Engineering;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
81;[Journal First] Metamorphic Testing of RESTful Web APIs;Sergio Segura, J. A. Parejo, J. Troya, Antonio Ruiz-Cortés;2018;International Conference on Software Engineering;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
82;Fault Detection Effectiveness of Source Test Case Generation Strategies for Metamorphic Testing;Prashanta Saha, Upulee Kanewala;2018;International Workshop on Metamorphic Testing;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
83;An Empirical Study of Android Test Generation Tools in Industrial Cases;Wenyu Wang, Dengfeng Li, Wei Yang, Yurui Cao, Zhenwen Zhang, Yuetang Deng, Tao Xie;2018;International Conference on Automated Software Engineering;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
84;A test case generation framework based on UML statechart diagram;Yasir Dawood Salman;2018;;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
85;Choosing the fitness function for the job: Automated generation of test suites that detect real faults;Alireza Salahirad, H. Almulla, Gregory Gay;2019;Software testing, verification & reliability;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
86;Development and implementation of automated fault detection and diagnostics for building systems: A review;Zixiao Shi, W. O’brien;2019;Automation in Construction;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
87;Reliability improvement of wind turbine power generation using model-based fault detection and fault tolerant control: A review;Hamed Habibi, I. Howard, S. Simani;2019;Renewable Energy;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
88;Applications of stochastic resonance to machinery fault detection: A review and tutorial;Zijian Qiao, Y. Lei, Naipeng Li;2019;Mechanical systems and signal processing;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
89;Challenges and Opportunities of Deep Learning Models for Machinery Fault Detection and Diagnosis: A Review;S. R. Saufi, Z. Ahmad, M. Leong, M. H. Lim;2019;IEEE Access;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
90;Structural Coverage Criteria for Neural Networks Could Be Misleading;Zenan Li, Xiaoxing Ma, Chang Xu, Chun Cao;2019;2019 IEEE/ACM 41st International Conference on…;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
91;SAVIOR: Towards Bug-Driven Hybrid Testing;Yaohui Chen, Peng Li, Jun Xu, Shengjian Guo, Rundong Zhou, Yulong Zhang, Tao Wei, Long Lu;2019;IEEE Symposium on Security and Privacy;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
92;A Small-Sample Wind Turbine Fault Detection Method With Synthetic Fault Data Using Generative Adversarial Nets;Jinhai Liu, Fuming Qu, Xiaowei Hong, Hua-guang Zhang;2019;IEEE Transactions on Industrial Informatics;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
93;Fault Detection and Isolation in Industrial Processes Using Deep Learning Approaches;R. Iqbal, Tomasz Maniak, F. Doctor, Charalampos Karyotis;2019;IEEE Transactions on Industrial Informatics;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
