id;title;authors;year;venue;search_string
94;Testing with Fewer Resources: An Adaptive Approach to Performance-Aware Test Case Generation;Giovanni Grano, Christoph Laaber, Annibale Panichella, Sebastiano Panichella;2019;IEEE Transactions on Software Engineering;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
95;Intelligent Fault Detection Scheme for Microgrids With Wavelet-Based Deep Neural Networks;J. Yu, Yunhe Hou, Albert Y. S. Lam, V. Li;2019;IEEE Transactions on Smart Grid;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
96;Diversity-based web test generation;Matteo Biagiola, Andrea Stocco, Filippo Ricca, P. Tonella;2019;ESEC/SIGSOFT FSE;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
97;Test coverage criteria for RESTful web APIs;Alberto Martin-Lopez, Sergio Segura, Antonio Ruiz-Cortés;2019;A-TEST@ESEC/SIGSOFT FSE;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
98;Fw‐fuzz: A code coverage‐guided fuzzing framework for network protocols on firmware;Zicong Gao, Weiyu Dong, Rui Chang, Yisen Wang;2020;Concurrency and Computation;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
99;Generative adversarial network for fault detection diagnosis of chillers;Ke Yan, A. Chong, Yu-chang Mo;2020;;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
100;Can this fault be detected: A study on fault detection via automated test generation;Ping Ma, Hangyuan Cheng, Jingxuan Zhang, Jifeng Xuan;2020;Journal of Systems and Software;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
101;Signal based condition monitoring techniques for fault detection and diagnosis of induction motors: A state-of-the-art review;Purushottam Gangsar, R. Tiwari;2020;;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
102;Using Metamorphic Testing to Evaluate DNN Coverage Criteria;Jinyi Zhou, Kun Qiu, Zheng Zheng, T. Chen, P. Poon;2020;2020 IEEE International Symposium on Software…;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
103;FEM Simulation-Based Generative Adversarial Networks to Detect Bearing Faults;Yun Gao, Xiao-Yang Liu, J. Xiang;2020;IEEE Transactions on Industrial Informatics;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
104;API-Misuse Detection Driven by Fine-Grained API-Constraint Knowledge Graph;Xiaoxue Ren, Xinyuan Ye, Zhenchang Xing, Xin Xia, Xiwei Xu, Liming Zhu, Jianling Sun;2020;International Conference on Automated Software Engineering;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
105;AI-Driven Web API Testing;Alberto Martin-Lopez;2020;2020 IEEE/ACM 42nd International Conference on Software Engineering: Companion Proceedings (ICSE-Companion);"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
106;TEGDroid: Test Case Generation Approach for Android Apps Considering Context and GUI Events;Asmau Usman, N. Ibrahim, I. Salihu;2020;International Journal on Advanced Science…;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
107;Few-Shot Bearing Anomaly Detection via Model-Agnostic Meta-Learning;S. Zhang, Fei Ye, Bingnan Wang, T. Habetler;2020;International Conference on Electrical Machines and Systems;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
108;A new disjunctive literal insertion fault detection strategy in boolean specifications;T. K. Paul, M. Chowdhury, M. Lau;2021;J. Softw. Evol. Process.;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
109;Hybrid Multi-level Crossover for Unit Test Case Generation;Mitchell Olsthoorn, P. Derakhshanfar, Annibale Panichella;2021;International Symposium on Search Based Software…;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
110;Chiller fault detection and diagnosis with anomaly detective generative adversarial network;Ke Yan;2021;;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
111;Improving Test Case Generation for REST APIs Through Hierarchical Clustering;D. Stallenberg, Mitchell Olsthoorn, Annibale Panichella;2021;International Conference on Automated Software…;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
112;A Test Case Generation Method of Combinatorial Testing based on τ-way Testing with Adaptive Random Testing;Jinfu Chen, Jingyi Chen, Saihua Cai, Haibo Chen, Chi Zhang, Chuan-dong Huang;2021;2021 IEEE International Symposium on Software…;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
113;Deep Feature Generating Network: A New Method for Intelligent Fault Detection of Mechanical Systems Under Class Imbalance;Tongyang Pan, Jinglong Chen, Jingsong Xie, Zitong Zhou, Shuilong He;2021;IEEE Transactions on Industrial Informatics;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
114;Diagnosis of Interturn Short-Circuit Faults in Permanent Magnet Synchronous Motors Based on Few-Shot Learning Under a Federated Learning Framework;Jinglin Zhang, Yanbo Wang, Kai Zhu, Yi Zhang, Yuanjiang Li;2021;IEEE Transactions on Industrial Informatics;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
115;Adversarial Autoencoder Based Feature Learning for Fault Detection in Industrial Processes;Kyojin Jang, Seokyoung Hong, Minsu Kim, Jonggeol Na, I. Moon;2021;IEEE Transactions on Industrial Informatics;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
116;Model-Based Testing in Practice: An Industrial Case Study using GraphWalker;M. Zafar, W. Afzal, Eduard Paul Enoiu, A. Stratis, Aitor Arrieta, Goiuria Sagardui Mendieta;2021;International Symposium on Electronic Commerce;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
117;An effective zero-shot learning approach for intelligent fault detection using 1D CNN;Siyu Zhang, Hua‐Liang Wei, Jinliang Ding;2022;Applied intelligence (Boston);"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
118;Minerva: browser API fuzzing with dynamic mod-ref analysis;Chijin Zhou, Quan Zhang, Mingzhe Wang, Lihua Guo, Jie Liang, Zhe Liu, Mathias Payer, Yuting Jiang;2022;ESEC/SIGSOFT FSE;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
119;Randoop-TSR: Random-based Test Generator with Test Suite Reduction;Xiangjun Liu, P. Yu;2022;Asia-Pacific Symposium on Internetware;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
120;White-Box Fuzzing RPC-Based APIs with EvoMaster: An Industrial Case Study;Man Zhang, Andrea Arcuri, Yonggang Li, Yang Liu, Kaiming Xue;2022;ACM Transactions on Software Engineering and Methodology;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
121;Combinatorial Testing Approaches: A Systematic Review;H. Fadhil, Mohammed Najm, M. Younis;2022;Iraqi Journal of Computer, Communication, Control…;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
122;Large Language Models are Pretty Good Zero-Shot Video Game Bug Detectors;Mohammad Reza Taesiri, Finlay Macklon, Yihe Wang, H. Shen, C. Bezemer;2022;arXiv.org;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
123;Machine Learning-Based Test Case Generation Comparing: Reinforcement Learning vs Genetic Algorithms;Ravikanth Konda;2022;International Journal of Multidisciplinary…;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
124;Enriching automatic test case generation by extracting relevant test inputs from bug reports;Wendkûuni C. Ouédraogo, Laura Plein, Tégawendé F. Bissyandé;2023;Empirical Software Engineering;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
125;ARTE: Automated Generation of Realistic Test Inputs for Web APIs;J. Alonso;2023;IEEE Transactions on Software Engineering;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
126;AGORA: Automated Generation of Test Oracles for REST APIs;J. Alonso, Sergio Segura, Antonio Ruiz-Cortés;2023;International Symposium on Software Testing and…;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
127;InferFix: End-to-End Program Repair with LLMs;Ma Jin, Syed Shahriar, Michele Tufano, Xin Shi, Shuai Lu, Neel Sundaresan, Alexey Svyatkovskiy;2023;ESEC/SIGSOFT FSE;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
128;Few-Shot Learning Approaches for Fault Diagnosis Using Vibration Data: A Comprehensive Review;Xiaoxia Liang, Ming Zhang, Guojin Feng, Duo Wang, Yuchun Xu, Fengshou Gu;2023;Sustainability;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
129;Effective Test Generation Using Pre-trained Large Language Models and Mutation Testing;Arghavan Moradi Dakhel, Amin Nikanjam, Vahid Majdinasab, F. Khomh, M. Desmarais;2023;Information and Software Technology;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
130;Optimal test case generation for boundary value analysis;Xiujing Guo, H. Okamura, T. Dohi;2024;Software quality journal;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
131;A Hybrid Sine Cosine Algorithm with Cluster Voting for Combinatorial Testing;Masrulehsan Mamat, Mazidah Mat Rejab, K. Z. Zamli, A. Sivaji;2024;2024 1st International Conference on Cyber…;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
132;Automatic Software Test Case Generation and Optimization Based on Multi-Objective Genetic Algorithm;Yunhua Wei, Yuanwu Jin;2024;2024 International Conference on Electrical…;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
133;IOTStateFuzz: A Greybox Fuzzing Approach for Stateful Protocols in IoT Devices;Qisong Song, Qiang Wei;2024;2024 6th International Conference on Frontier…;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
134;TOGLL: Correct and Strong Test Oracle Generation with LLMS;Soneya Binta Hossain, Matthew B. Dwyer;2024;International Conference on Software Engineering;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
135;A Multi-Agent Approach for REST API Testing with Semantic Graphs and LLM-Driven Inputs;Myeongsoo Kim, Tyler Stennett, Saurabh Sinha, Alessandro Orso;2024;International Conference on Software Engineering;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
136;A Zero-Shot Fault Detection Method for UAV Sensors Based on a Novel CVAE-GAN Model;Chuanjiang Li, Kai Luo, Zihao Liao;2024;IEEE Sensors Journal;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
137;HOTCP: Hybrid Optimal Test Case Prioritisation with Multi-Objective Constraints;M. B. Wagh, V. Puri, Sanjay B. Waykar, Rajesh Kadu;2024;Journal of Information & Knowledge Management;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
138;Enhancing Static Analysis for Practical Bug Detection: An LLM-Integrated Approach;Haonan Li, Yu Hao, Yizhuo Zhai, Zhiyun Qian;2024;Proc. ACM Program. Lang.;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
139;Fuzzing JavaScript Interpreters with Coverage-Guided Reinforcement Learning for LLM-Based Mutation;Jueon Eom, Seyeon Jeong, Taekyoung Kwon;2024;International Symposium on Software Testing and…;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
140;LLMs and Prompting for Unit Test Generation: A Large-Scale Evaluation;Wendkûuni C. Ouédraogo, Kader Kabore, Tégawendé F. Bissyandé;2024;International Conference on Automated Software…;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
141;DeepREST: Automated Test Case Generation for REST APIs Exploiting Deep Reinforcement Learning;Davide Corradini, Zeno Montolli, Michele Pasqua, Mariano Ceccato;2024;International Conference on Automated Software Engineering;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
142;Effective test cases generation with harmony search and RBF neural network;Hemant Kumar, Vipin Saxena;2024;˜The œinternational Arab journal of information…;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
143;Fault Detection Method based on Artificial Neural Network for 330kV Nigerian Transmission Line;Alhassan Musa Oruma, Ismaila Mahmud, Umar Alhaji Adamu, Simon Yakubu Wakawa, Gambo Idris, M. Mustapha;2024;International Journal of Innovative Science and…;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
144;TestGenEval: A Real World Unit Test Generation and Test Completion Benchmark;Kush Jain, Gabriel Synnaeve, Baptiste Rozière;2024;arXiv.org;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
145;Fault-Aware Test Case Prioritization in Software Testing Using Jaya Archimedes Optimization Algorithm;S. Sugave, Yogesh R. Kulkarni, B. Jagdale, V. Gutte;2025;Journal of electronic testing;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
146;Enhancing GUI test case generation with multi-objective quasi-oppositional genetic sparrow;N. Jayalakshmi, K. Sakthivel;2025;Scientific Reports;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
147;NLP-Powered Test Case Generation from Function Description – A Cross-Language Approach;Jonah Varghese Kachirackal, Vijayakumar Balakrishnan;2025;2025 3rd International Conference on Computational Intelligence and Network Systems (CINS);"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
148;Intent Based E2E Automated Test Case Generation for Web Applications Using LLM;Z. Abideen, Junxia Guo;2025;Annual International Computer Software and…;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
149;Research on Multi-Model Fusion Machine Learning Demand Intelligent Forecasting System in Cloud Computing Environment;Jiaying Huang;2025;2025 2nd International Conference on Intelligent Algorithms for Computational Intelligence Systems (IACIS);"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
150;AutoRestTest: A Tool for Automated REST API Testing Using LLMs and MARL;Tyler Stennett, Myeongsoo Kim, Saurabh Sinha, Alessandro Orso;2025;2025 IEEE/ACM 47th International Conference on…;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
151;Test Wars: A Comparative Study of SBST, Symbolic Execution, and LLM-Based Approaches to Unit Test Generation;A. Abdullin, P. Derakhshanfar, Annibale Panichella;2025;International Conference on Information Control Systems & Technologies;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
152;Mutation Testing via Iterative Large Language Model-Driven Scientific Debugging;Philipp Straubinger, M. Kreis, Stephan Lukasczyk, Gordon Fraser;2025;International Conference on Software Testing, Verification and Validation Workshops;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
153;Adversarial Generation of Deep Neural Network Image Test Cases Based on Multi-Conditional Constraints;Qingxia Yu, Chuanqi Tao;2025;International Conference on Software Quality, Reliability and Security;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
154;Mutation-Guided Unit Test Generation With a Large Language Model;Guancheng Wang, Qinghua Xu, Lionel C. Briand, Kui Liu;2025;IEEE Transactions on Software Engineering;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
155;Test Amplification for REST APIs via Single and Multi-Agent LLM Systems;Robbe Nooyens, Tolgahan Bardakci, Mutlu Beyazıt, Serge Demeyer;2025;International Conference on Testing Software and…;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
156;SAINT: Service-level Integration Test Generation with Program Analysis and LLM-based Agents;Rangeet Pan, Raju Pavuluri, Ruikai Huang, Rahul Krishna, Tyler Stennett, Alessandro Orso, Saurabh Sinha;2025;arXiv.org;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
157;MACHINE LEARNING APPROACHES FOR AUTOMATIC TEST CASE GENERATION FROM REQUIREMENTS;Tanvi Birari;2025;International journal of engineering science and…;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
158;An Integrated Approach to Hybrid Fuzz–Combinatorial and Structured Testcase Generation for Improved Coverage and Fault Detection Efficiency;Nethravathi Rippika, Sangharatna Godboley;2026;;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
159;METHOD FOR PRIORITIZING AUTO-GENERATED TEST CASES FOR REST APIS BASED ON OPENAPI SPECIFICATIONS;Vladyslav Khatsko, I.O. Nazarova;2026;Problems of Modeling and Design Automatization;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
160;АРХІТЕКТУРА АВТОМАТИЗОВАНОЇ СИСТЕМИ ГЕНЕРАЦІЇ ТЕСТІВ;Андрій Ковтко, Володимир Богданович Савків;2026;Herald of Khmelnytskyi National University…;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
161;Test vs Mutant: Adversarial LLM Agents for Robust Unit Test Generation;Pengyu Chang, Yixiong Fang, Silin Chen, Yuling Shi, Beijun Shen, Xiaodong Gu;2026;arXiv.org;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
162;GEM: A Framework for Strengthening LLM-Generated Unit Tests Using Mutation Feedback;Arda Celik, Qusay H. Mahmoud;2026;Conferencia Iberoamericana de Software…;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
163;DEEP REINFORCEMENT LEARNING FOR TEST CASE GENERATION AND PRIORITIZATION;Jing Guo, Jingjing Liu;2026;Journal of computer science and electrical…;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
164;RESTestBench: A Benchmark for Evaluating the Effectiveness of LLM-Generated REST API Test Cases from NL Requirements;Leon Kogler, Stefan Hangler, Maximilian Ehrhart, Benedikt Dornauer, Roland Wuersching, P. Schrammel;2026;;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
