id,title,authors,year,venue,doi,url,search_strings
29,BigCodeBench: Benchmarking Code Generation with Diverse Function Calls and Complex Instructions,Terry Yue Zhuo | Minh Chien Vu | Jenny Chim | Han Hu | Wenhao Yu | Ratnadira Widyasari | Imam Nur Bani Yusuf | Haolan Zhan | Junda He | Indraneil Paul | Simon Brunner | Chen Gong | Thong Hoang | Armel Randy Zebaze | Xiaoheng Hong | Wen-Ding Li | Jean Kaddour | Ming Xu | Zhihan Zhang | Prateek Yadav | Naman Jain | Alex Gu | Zhoujun Cheng | Jiawei Liu | Qian Liu | Zijian Wang | Binyuan Hui | Niklas Muennighoff | David Lo | Daniel Fried | Xiaoning Du | Harm de Vries | Leandro Von Werra,2024,arXiv (Cornell University),10.48550/arxiv.2406.15877,https://openalex.org/W4400023054,String 1
30,MR-Adopt: Automatic Deduction of Input Transformation Function for Metamorphic Testing,Congying Xu | Songqiang Chen | Jiarong Wu | Shing-Chi Cheung | Valerio Terragni | Hengcheng Zhu | Jialun Cao,2024,arXiv (Cornell University),10.48550/arxiv.2408.15815,https://openalex.org/W4402706028,String 1
31,A Study on the Quality of LLM-Generated Authorization Tests for Microservices,Anonymous,2026,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.19199479,https://openalex.org/W7140198598,String 1
32,Augmenting API Security Testing with Automated LLM-Driven Test Generation,Emil Marian Pa?ca | Rudolf Erdei | Daniela Delinschi | Oliviu Matei,2024,Lecture notes in networks and systems,10.1007/978-3-031-75016-8_11,https://openalex.org/W4404366535,String 1
33,Payload Analysis of Adversaries' Tooling: Automated Identification of Fuzzers,Aayush Garg | Aayush Garg | Constantinos Patsakis | Zanis Ali Khan | Qiang Tang,2024,,10.36227/techrxiv.173385946.65994728/v1,https://openalex.org/W4405229980,String 1
34,Feedback-Guided API Fuzzing of 5G Network,Tianchang Yang | K S Sathiyajith | Ashwin Senthil Arumugam | Syed Rafiul Hussain,2025,,10.14722/futureg.2025.23071,https://openalex.org/W4413462349,String 1
35,Mutation-Guided Unit Test Generation With a Large Language Model,Guancheng Wang | Qinghua Xu | Lionel Briand | Kui Liu,2026,IEEE Transactions on Software Engineering,10.1109/tse.2026.3682975,https://openalex.org/W7153155872,"String 1, String 2"
36,Intelligent Automation: Leveraging LLMs in DevOps Toolchains,Hitesh Allam,2024,International Journal of AI BigData Computational and Management Studies,10.63282/3050-9416.ijaibdcms-v5i4p109,https://openalex.org/W4411659439,String 1
37,LLM-based Unit Test Generation via Property Retrieval,Zhe Zhang | Xingyu Liu | Yuanzhang Lin | Xiang Gao | Hailong Sun | Yuan Yuan,2024,arXiv (Cornell University),10.48550/arxiv.2410.13542,https://openalex.org/W4403579820,String 1
38,Test Oracle Automation in the era of LLMs,Facundo Molina | Alessandra Gorla,2024,arXiv (Cornell University),10.48550/arxiv.2405.12766,https://openalex.org/W4398230755,"String 1, String 2"
39,CodeArena: A Collective Evaluation Platform for LLM Code Generation,Mingzhe Du | Anh Tuan Luu | Bin Ji | Xiaobao Wu | Yuhao Qing | Dong Huang | Terry Yue Zhuo | Qian Liu | See-Kiong Ng,2025,,10.18653/v1/2025.acl-demo.48,https://openalex.org/W4412887032,String 1
40,Metamorphic Relation Generation: State of the Art and Visions for Future Research,Rui Li | Huai Liu | Pak-Lok Poon | Dave Towey | Chang-ai Sun | Zheng Zheng | Zhi Quan Zhou | Tsong Yueh Chen,2024,arXiv (Cornell University),10.48550/arxiv.2406.05397,https://openalex.org/W4399597760,String 1
41,"Democratizing Digital Transformation: A Multisector Study of Low-Code Adoption Patterns, Limitations, and Emerging Paradigms",Zhengwu Shi | Junyu Dong | Yanhai Gan,2025,Applied Sciences,10.3390/app15126481,https://openalex.org/W4411153268,"String 1, String 2"
42,The Current Challenges of Software Engineering in the Era of Large Language Models,Cuiyun Gao | Xing Hu | Shan Gao | Xin Xia | Zhi Jin,2024,arXiv (Cornell University),10.48550/arxiv.2412.14554,https://openalex.org/W4405627723,String 1
43,Efficient and Robust Security-Patch Localization for Disclosed OSS Vulnerabilities with Fine-Tuned LLMs in an Industrial Setting,Dezhi Ran | Lin Li | Liuchuan Zhu | Yuan Cao | Landelong Zhao | Xin Tan | Guangtai Liang | Qianxiang Wang | Tao Xie,2025,,10.1145/3696630.3728551,https://openalex.org/W4412703936,String 1
44,Towards Test Generation from Task Description for Mobile Testing with Multi-modal Reasoning,Hieu Huynh | Hai Phung | Hao Pham | Tien N. Nguyen | Vu Nguyen,2025,ArXiv.org,10.48550/arxiv.2504.15917,https://openalex.org/W4414634059,String 1
45,Artificial Intelligence as the New Hacker: Developing Agents for Offensive Security,Leroy Jacob Valencia,2024,arXiv (Cornell University),10.48550/arxiv.2406.07561,https://openalex.org/W4399694331,String 1
46,LLMs in the Heart of Differential Testing: A Case Study on a Medical Rule Engine,Erblin Isaku | Christoph Laaber | Hassan Sartaj | Shaukat Ali | Thomas Schwitalla | Jan F. Nygård,2024,arXiv (Cornell University),10.48550/arxiv.2404.03664,https://openalex.org/W4394591070,String 1
47,Req2Test: An Approach for the Automatic Generation of Unit Tests from User Stories Using LLMs,"França, Mattheus | Benitti, Fabiane",2025,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.17917984,https://openalex.org/W7115059574,String 1
48,A Blueprint for AI-Driven Software Quality: Integrating LLMs with Established Standards,Avinash Patil,2025,ArXiv.org,10.48550/arxiv.2505.13766,https://openalex.org/W4415019143,"String 1, String 2"
49,Semantic Constraint Inference for Web Form Test Generation,Parsa Alian | Noor Nashid | Mobina Shahbandeh | Ali Mesbah,2024,arXiv (Cornell University),10.48550/arxiv.2402.00950,https://openalex.org/W4391555552,String 1
50,Chat-like Asserts Prediction with the Support of Large Language Model,Han Wang | Hanping Hu | Chunyang Chen | Burak Turhan,2024,arXiv (Cornell University),10.48550/arxiv.2407.21429,https://openalex.org/W4401306610,String 1
51,Carolinesnt/ai_agent_starter: AI Agent-based BAC Testing Framework - Initial Release v1.0.0,CarolineSusanto | Caroline S,2026,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.18524562,https://openalex.org/W7128312288,String 1
52,A Comprehensive Study on Large Language Models for Mutation Testing,"Bo Wang | Mingda Chen | Deng, Ming | Youfang Lin | Harman, Mark | Mike Papadakis | Jie M. Zhang",2024,arXiv (Cornell University),10.48550/arxiv.2406.09843,https://openalex.org/W4399759095,String 1
53,Mind the Gap: What Working With Developers on Fuzz Tests Taught Us About Coverage Gaps,Carolin Brandt | Marco Castelluccio | Christian Holler | Jason Kratzer | Andy Zaidman | Alberto Bacchelli,2024,,10.1145/3639477.3639721,https://openalex.org/W4399213317,String 1
54,Vibe Coding vs. Agentic Coding: Fundamentals and Practical Implications of Agentic AI,Ranjan Sapkota | Konstantinos I. Roumeliotis | Manoj Karkee,2025,ArXiv.org,10.48550/arxiv.2505.19443,https://openalex.org/W4414586252,String 1
55,A Survey of Protocol Fuzzing,"Xiaohan Zhang | Cen Zhang | Xinghua Li | Zhengjie Du | Bing Mao | Yuekang Li | Yaowen Zheng | Yeting Li | Pan, Li | Yang Liu | Robert H. Deng",2024,arXiv (Cornell University),10.48550/arxiv.2401.01568,https://openalex.org/W4390632111,String 1
56,A Multi-Year Grey Literature Review on AI-assisted Test Automation,Filippo Ricca | Alessandro Marchetto | Andrea Stocco,2024,arXiv (Cornell University),10.48550/arxiv.2408.06224,https://openalex.org/W4402387411,String 1
57,Integrating AI Tools Into the Continuous Testing Process.,"Software Developer Engineer in Test Penn Interactive Miami, USA | Vladyslav Korol",2025,The American Journal of Engineering And Technology,10.37547/tajet/volume07issue06-23,https://openalex.org/W4411857169,String 1
58,Beyond Accuracy: An Empirical Study on Unit Testing in Open-source Deep Learning Projects,Han Wang | Sijia Yu | Chunyang Chen | Burak Turhan | Xiaodong Zhu,2023,ACM Transactions on Software Engineering and Methodology,10.1145/3638245,https://openalex.org/W4390002420,String 1
59,Software testing for peer-to-peer systems: Challenges and the state-of-the-art,Bruno E. R. Garcia | Simone R. S. Souza,2025,Journal of Software Engineering Research and Development,10.5753/jserd.2025.4917,https://openalex.org/W4408055893,String 1
60,Speed at the Cost of Quality: How Cursor AI Increases Short-Term Velocity and Long-Term Complexity in Open-Source Projects,"Hao He | Courtney Miller | Agarwal, Shyam | Christian Kästner | Bogdan Vasilescu",2025,arXiv (Cornell University),10.48550/arxiv.2511.04427,https://openalex.org/W4416026021,String 1
61,Property-Based Testing for Cybersecurity: Towards Automated Validation of Security Protocols,Manuel J. C. S. Reis,2025,Computers,10.3390/computers14050179,https://openalex.org/W4410118952,String 1
62,Search-Based Software Engineering,Paolo Arcaini | Tao Yue | Erik M. Fredericks,2023,Lecture notes in computer science,10.1007/978-3-031-48796-5,https://openalex.org/W4389285848,String 1
